ENTITY TYPE,X Coordinate,Y Coordinate,Z Coordinate
  VERTEX:,633.15,210.15,108.6
  VERTEX:,675.1,210.15,94.63
  VERTEX:,718.05,210.15,80.67
  VERTEX:,773.98,210.15,68.7
  VERTEX:,853.86,40.1,-53.34
END OF 3DPOLYLINE
3DPOLYLINE (closed):
Properties:,Layer:,3DGeometry,Colour:,1,
  VERTEX:,-129.26,20.48,-54.21
  VERTEX:,53.27,190.53,133.54
  VERTEX:,104.21,190.53,160.48
  VERTEX:,201.09,190.53,186.42
  VERTEX:,262.01,190.53,172.45
  VERTEX:,333.93,190.53,149.51
  VERTEX:,368.88,190.53,114.59
  VERTEX:,452.78,190.53,120.57
  VERTEX:,525.69,190.53,134.54
  VERTEX:,583.62,190.53,120.57
  VERTEX:,634.56,190.53,108.6
  VERTEX:,676.5,190.53,94.63
  VERTEX:,719.45,190.53,80.67
  VERTEX:,775.38,190.53,68.7
  VERTEX:,855.26,20.48,-53.34
END OF 3DPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-394.34,304.08,0
  VERTEX:,-335.48,-91.75,0
  VERTEX:,-147.16,-266.8,0
  VERTEX:,103.94,-193.64,0
  VERTEX:,706.83,-146.61,0
  VERTEX:,1036.4,260.97,0
END OF LWPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-389.39,304.81,5
  VERTEX:,-330.8,-89.28,5
  VERTEX:,-145.83,-261.2,5
  VERTEX:,103.03,-188.7,5
  VERTEX:,704.3,-141.79,5
  VERTEX:,1032.51,264.11,5
END OF LWPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-384.44,305.55,10
  VERTEX:,-326.11,-86.81,10
  VERTEX:,-144.51,-255.61,10
  VERTEX:,102.13,-183.75,10
  VERTEX:,701.77,-136.98,10
  VERTEX:,1028.63,267.25,10
END OF LWPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-379.5,306.28,15
  VERTEX:,-321.42,-84.34,15
  VERTEX:,-143.18,-250.01,15
  VERTEX:,101.23,-178.81,15
  VERTEX:,699.23,-132.16,15
  VERTEX:,1024.74,270.4,15
END OF LWPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-374.55,307.02,20
  VERTEX:,-316.73,-81.87,20
  VERTEX:,-141.86,-244.42,20
  VERTEX:,100.32,-173.86,20
  VERTEX:,696.7,-127.34,20
  VERTEX:,1020.85,273.54,20
END OF LWPOLYLINE
LWPOLYLINE (open): 
Properties:,Layer:,OuterEdge,
  VERTEX:,-369.61,307.75,25
  VERTEX:,-312.05,-79.4,25
  VERTEX:,-140.53,-238.83,25
  VERTEX:,99.42,-168.92,25
  VERTEX:,694.16,-122.52,25
  VERTEX:,1016.96,276.69,25
END OF LWPOLYLINE
LWPOLYLINE (closed):
Properties:,Colour:,3,
  VERTEX:,-264.61,-63.53,45
  VERTEX:,-129.2,-196.43,45
  VERTEX:,77.37,-131.86,45
  VERTEX:,678.49,-79.99,45
  VERTEX:,920.78,285.46,45
  VERTEX:,-42.64,267.8,45
END OF LWPOLYLINE
LWPOLYLINE (closed):
Properties:,Colour:,3,
  VERTEX:,-271.07,-64.19,40
  VERTEX:,-130.57,-202.09,40
  VERTEX:,78.34,-136.8,40
  VERTEX:,681.33,-84.76,40
  VERTEX:,930.21,290.63,40
  VERTEX:,-45.35,272.75,40
END OF LWPOLYLINE
LWPOLYLINE (closed):
Properties:,Colour:,3,
  VERTEX:,-277.53,-64.85,35
  VERTEX:,-131.94,-207.76,35
  VERTEX:,79.32,-141.73,35
  VERTEX:,684.16,-89.54,35
  VERTEX:,939.64,295.81,35
  VERTEX:,-48.05,277.7,35
END OF LWPOLYLINE
LWPOLYLINE (closed):
Properties:,Colour:,3,
  VERTEX:,-284,-65.52,30
  VERTEX:,-133.3,-213.42,30
  VERTEX:,80.29,-146.67,30
  VERTEX:,686.99,-94.31,30
  VERTEX:,949.07,300.98,30
  VERTEX:,-50.75,282.65,30
END OF LWPOLYLINE
